<omega>	pairs	n_of_seqs	file
0.12	21	7	my_31162_TR29458-c0_g1_i1_aln.fna
0	6	4	my_217004_TR29271-c0_g1_i1_aln.fna
0	120	16	my_17685_TR23686-c0_g1_i1_aln.fna
0.5	15	6	my_61922_TR3326-c0_g1_i1_aln.fna
0.17	28	8	my_24569_TR30472-c0_g1_i1_aln.fna
0	120	16	my_17484_TR30580-c0_g1_i1_aln.fna
0.31	6	4	my_95299_TR25223-c0_g1_i1_aln.fna
0.62	6	4	my_26329_TR1478-c0_g1_i1_aln.fna
0	10	5	my_335294_TR14645-c0_g1_i1_aln.fna
0	105	15	my_15402_TR115-c0_g1_i1_aln.fna
0	10	5	my_61756_TR11565-c0_g1_i1_aln.fna
0	6	4	my_48786_TR21456-c0_g1_i1_aln.fna
0	120	16	my_6887_TR4162-c0_g1_i1_aln.fna
0.38	15	6	my_62120_TR2429-c0_g1_i1_aln.fna
0.44	10	5	my_139972_TR23263-c0_g1_i1_aln.fna
0.3	15	6	my_92229_TR13025-c0_g1_i2_aln.fna
0	21	7	my_66785_TR3622-c0_g2_i1_aln.fna
0	15	6	my_100177_TR22046-c0_g1_i1_aln.fna
0	15	6	my_27166_TR1184-c0_g1_i1_aln.fna
0	10	5	my_32767_TR314-c0_g1_i1_aln.fna
0.38	21	7	my_67623_TR26425-c2_g1_i1_aln.fna
0	28	8	my_19188_TR32044-c0_g1_i1_aln.fna
0.96	15	6	my_32333_TR14954-c0_g1_i1_aln.fna
0	28	8	my_65310_TR35926-c0_g2_i1_aln.fna
0.44	15	6	my_58239_TR6141-c1_g3_i6_aln.fna
0	28	8	my_31455_TR24169-c0_g1_i1_aln.fna
0	6	4	my_98749_TR30639-c0_g1_i1_aln.fna
0.06	10	5	my_99957_TR28037-c0_g2_i2_aln.fna
0	6	4	my_181737_TCONS_00048460_aln.fna
0.07	55	11	my_31839_TR31390-c0_g1_i1_aln.fna
0	120	16	my_17692_TR28207-c0_g1_i1_aln.fna
0	6	4	my_97299_TR31522-c0_g1_i1_aln.fna
1.36	10	5	my_65407_TR12476-c0_g1_i1_aln.fna
0	91	14	my_22284_TR5465-c0_g2_i1_aln.fna
0	15	6	my_91491_TR22570-c4_g1_i1_aln.fna
0	28	8	my_61087_TR33844-c7_g1_i2_aln.fna
0.1	55	11	my_22207_TR12131-c0_g2_i1_aln.fna
0	15	6	my_33654_TR28043-c0_g1_i1_aln.fna
1.54	6	4	my_97652_TR16878-c0_g2_i1_aln.fna
0	36	9	my_26825_TR13985-c5_g1_i1_aln.fna
0	78	13	my_140425_TR29996-c0_g1_i1_aln.fna
0.28	21	7	my_96360_TR34947-c0_g1_i1_aln.fna
0.18	55	11	my_22371_TR28652-c0_g1_i1_aln.fna
0.58	6	4	my_67483_TR11210-c1_g1_i1_aln.fna
0	21	7	my_92620_TR23479-c0_g1_i1_aln.fna
0	10	5	my_93927_TR11413-c0_g2_i1_aln.fna
0.24	15	6	my_180320_TCONS_00044421_aln.fna
0	6	4	my_17073_TR12526-c0_g1_i1_aln.fna
0	15	6	my_103166_TR21608-c0_g1_i1_aln.fna
0	105	15	my_19231_TR19678-c0_g1_i1_aln.fna
0.05	6	4	my_132782_TR4451-c0_g1_i1_aln.fna
0	15	6	my_34020_TR17318-c0_g1_i1_aln.fna
1.28	6	4	my_206664_TR24782-c0_g2_i1_aln.fna
0	10	5	my_87642_TR10509-c0_g1_i1_aln.fna
0.6	28	8	my_22219_TR15989-c0_g1_i1_aln.fna
0	6	4	my_69724_TR1830-c0_g1_i1_aln.fna
0	78	13	my_34597_TR14581-c0_g1_i1_aln.fna
0	120	16	my_1226_TR19660-c0_g1_i1_aln.fna
0	6	4	my_21753_TR35996-c0_g1_i2_aln.fna
1.1	15	6	my_151917_TCONS_00036193_aln.fna
0.72	10	5	my_32813_TR10082-c0_g1_i1_aln.fna
1.32	15	6	my_24403_TR20476-c0_g1_i1_aln.fna
0.1	21	7	my_139372_TR28682-c0_g1_i1_aln.fna
0	120	16	my_20386_TR3660-c0_g1_i1_aln.fna
0	120	16	my_24894_TR32192-c0_g1_i1_aln.fna
0	15	6	my_32137_TR29377-c1_g1_i2_aln.fna
0.03	120	16	my_20352_TR29354-c0_g2_i1_aln.fna
0.17	6	4	my_131687_TR25304-c0_g1_i1_aln.fna
0	10	5	my_35017_TR11715-c0_g1_i1_aln.fna
0.54	10	5	my_69882_TR32563-c0_g1_i1_aln.fna
0	15	6	my_54895_TR18383-c0_g1_i1_aln.fna
0	15	6	my_34197_TR13655-c0_g1_i1_aln.fna
0.73	21	7	my_35780_TR26843-c0_g1_i1_aln.fna
0.18	120	16	my_11093_TR18324-c0_g1_i1_aln.fna
0.01	28	8	my_33078_TR22443-c0_g1_i1_aln.fna
0.14	6	4	my_27663_TR14278-c0_g1_i1_aln.fna
0	15	6	my_30911_TR33580-c0_g1_i1_aln.fna
0	78	13	my_18424_TR826-c0_g1_i1_aln.fna
0	15	6	my_58011_TR16206-c0_g1_i1_aln.fna
0.63	15	6	my_22795_TR16085-c0_g1_i1_aln.fna
0.1	6	4	my_258763_TR33829-c0_g1_i1_aln.fna
0	15	6	my_62724_TR171-c0_g1_i1_aln.fna
0	45	10	my_30697_TR8093-c0_g1_i1_aln.fna
0.23	21	7	my_57032_TR5727-c0_g1_i1_aln.fna
0.05	45	10	my_91851_TR35866-c1_g1_i1_aln.fna
0	6	4	my_21944_TR28311-c0_g1_i6_aln.fna
0	15	6	my_35505_TR19869-c0_g1_i1_aln.fna
0	45	10	my_26500_TR31197-c0_g1_i1_aln.fna
0	6	4	my_100426_TR21772-c0_g1_i1_aln.fna
0.37	120	16	my_22567_TR20178-c0_g1_i1_aln.fna
0	21	7	my_25383_TR30493-c0_g1_i1_aln.fna
0	15	6	my_28088_TR7182-c0_g1_i1_aln.fna
0	28	8	my_54255_TR27222-c0_g1_i1_aln.fna
0	6	4	my_140640_TR3109-c0_g1_i1_aln.fna
0.45	6	4	my_218852_TR10276-c0_g2_i1_aln.fna
0.71	15	6	my_33163_TR1729-c0_g1_i1_aln.fna
1.17	21	7	my_142185_TCONS_00016121_aln.fna
0.03	66	12	my_30076_TR8332-c0_g1_i1_aln.fna
0	15	6	my_131542_TR34812-c0_g1_i1_aln.fna
0	10	5	my_59404_TR7601-c0_g1_i1_aln.fna
0	10	5	my_66632_TR22763-c0_g1_i1_aln.fna
0.63	21	7	my_35483_TR15883-c0_g1_i1_aln.fna
0	10	5	my_65540_TR30109-c0_g1_i1_aln.fna
0.35	6	4	my_97234_TR17765-c0_g1_i1_aln.fna
0.1	6	4	my_69240_TR17406-c2_g1_i1_aln.fna
0.04	21	7	my_26400_TR14277-c0_g1_i1_aln.fna
0.37	15	6	my_132968_TR36303-c0_g1_i1_aln.fna
0	120	16	my_13997_TR29274-c0_g1_i1_aln.fna
0	6	4	my_181061_TCONS_00035337_aln.fna
0	6	4	my_141352_TR13635-c0_g1_i1_aln.fna
0.08	6	4	my_103010_TR5026-c0_g1_i1_aln.fna
0	6	4	my_174288_TCONS_00015023_aln.fna
0	36	9	my_35593_TR36188-c1_g2_i1_aln.fna
0.21	6	4	my_242968_TR729-c0_g1_i1_aln.fna
0.95	6	4	my_106224_TR11873-c0_g1_i1_aln.fna
0	10	5	my_216048_TR22853-c0_g1_i1_aln.fna
0.15	15	6	my_18728_TR3041-c0_g1_i1_aln.fna
0	120	16	my_16657_TR2256-c0_g1_i1_aln.fna
0.13	6	4	my_47236_TR18831-c2_g1_i1_aln.fna
0	10	5	my_21535_TR4204-c0_g1_i1_aln.fna
0	6	4	my_133020_TR11627-c0_g1_i1_aln.fna
0	21	7	my_61817_TR21764-c0_g1_i1_aln.fna
0.1	78	13	my_23176_TR7246-c0_g2_i1_aln.fna
0.19	10	5	my_21613_TR29599-c0_g1_i1_aln.fna
0.74	6	4	my_132868_TR19988-c0_g1_i3_aln.fna
0.21	15	6	my_139307_TR15905-c0_g1_i1_aln.fna
0	6	4	my_99372_TR19979-c0_g1_i1_aln.fna
0.18	66	12	my_25449_TR7572-c0_g1_i1_aln.fna
0	21	7	my_54419_TR31382-c0_g1_i1_aln.fna
0	6	4	my_136182_TR2907-c0_g1_i1_aln.fna
0.22	21	7	my_20096_TR32412-c0_g1_i1_aln.fna
0	6	4	my_219337_TR8529-c0_g1_i1_aln.fna
0.15	10	5	my_30196_TR21674-c0_g1_i1_aln.fna
0.59	6	4	my_182043_TCONS_00047964_aln.fna
0.05	120	16	my_15213_TR23990-c1_g1_i1_aln.fna
0	6	4	my_300236_TR33306-c0_g3_i1_aln.fna
0.1	120	16	my_8183_TR7970-c0_g1_i1_aln.fna
0.27	10	5	my_252777_TR15725-c1_g1_i1_aln.fna
0.37	15	6	my_64110_TR2541-c0_g1_i1_aln.fna
0	15	6	my_22488_TR32938-c1_g1_i2_aln.fna
0	6	4	my_69681_TR30099-c0_g1_i1_aln.fna
0.03	120	16	my_14273_TR33107-c0_g2_i1_aln.fna
0	10	5	my_103987_TR19408-c0_g1_i1_aln.fna
0	6	4	my_98632_TR11446-c0_g1_i1_aln.fna
0	6	4	my_103384_TR16219-c0_g1_i1_aln.fna
0.02	120	16	my_13367_TR12921-c0_g1_i1_aln.fna
0	78	13	my_21325_TR36015-c1_g1_i1_aln.fna
0.08	10	5	my_27167_TR1220-c0_g1_i1_aln.fna
0	10	5	my_34147_TR6825-c0_g1_i1_aln.fna
0	15	6	my_66627_TR22361-c0_g1_i1_aln.fna
0.12	10	5	my_66378_TR27640-c0_g1_i1_aln.fna
0	28	8	my_131352_TR32889-c1_g3_i1_aln.fna
0	15	6	my_29120_TR21266-c0_g1_i10_aln.fna
1.01	10	5	my_66541_TR11797-c0_g1_i1_aln.fna
0	55	11	my_31957_TR11149-c2_g1_i1_aln.fna
0	78	13	my_29824_TR13424-c0_g1_i4_aln.fna
0	6	4	my_26621_TR16511-c0_g1_i1_aln.fna
0.31	28	8	my_35342_TR29245-c0_g1_i1_aln.fna
0	6	4	my_298213_TR9299-c0_g1_i1_aln.fna
0.35	6	4	my_204795_TR15489-c0_g1_i1_aln.fna
0.06	36	9	my_59173_TR25850-c0_g1_i1_aln.fna
0	78	13	my_25840_TR16405-c0_g1_i1_aln.fna
0	6	4	my_125255_TR31971-c0_g1_i1_aln.fna
0	6	4	my_28932_TR31252-c0_g2_i1_aln.fna
0	45	10	my_58300_TR21316-c0_g1_i1_aln.fna
0	105	15	my_25166_TR20284-c0_g1_i1_aln.fna
0.54	21	7	my_22040_TR29207-c0_g1_i1_aln.fna
0	10	5	my_48014_TR26854-c0_g1_i1_aln.fna
0.42	15	6	my_64486_TR21745-c4_g6_i2_aln.fna
0	36	9	my_33996_TR13241-c0_g1_i1_aln.fna
0	15	6	my_69851_TR27344-c0_g1_i1_aln.fna
0	10	5	my_47990_TR11296-c0_g1_i1_aln.fna
0	10	5	my_294369_TR14795-c0_g1_i1_aln.fna
0.29	15	6	my_137986_TR2965-c0_g1_i1_aln.fna
0	10	5	my_22579_TR24785-c0_g1_i1_aln.fna
0.25	6	4	my_42828_TR27236-c0_g1_i1_aln.fna
0	120	16	my_13223_TR1696-c0_g1_i1_aln.fna
0	36	9	my_19603_TR8900-c0_g1_i1_aln.fna
0.23	28	8	my_138648_TR32946-c0_g1_i1_aln.fna
0.23	120	16	my_18371_TR19188-c2_g1_i1_aln.fna
0	15	6	my_66421_TR33286-c0_g1_i1_aln.fna
0.04	6	4	my_135612_TR34065-c0_g1_i1_aln.fna
0.56	6	4	my_135379_TR4141-c0_g1_i1_aln.fna
0	6	4	my_99187_TR25834-c0_g1_i1_aln.fna
0	15	6	my_67615_TR25149-c0_g1_i1_aln.fna
0	21	7	my_102805_TR19466-c0_g2_i3_aln.fna
0	21	7	my_50438_TR19980-c0_g1_i1_aln.fna
0	15	6	my_26656_TR20644-c0_g1_i1_aln.fna
0	15	6	my_102307_TR750-c0_g1_i1_aln.fna
0.12	21	7	my_24117_TR32347-c0_g1_i1_aln.fna
0.23	6	4	my_95796_TR24516-c0_g1_i1_aln.fna
0	28	8	my_32846_TR14679-c0_g1_i1_aln.fna
0	6	4	my_27419_TR7637-c0_g1_i1_aln.fna
0.36	10	5	my_33629_TR24070-c0_g1_i9_aln.fna
0	10	5	my_21127_TR9447-c0_g2_i1_aln.fna
0.24	91	14	my_17749_TR36035-c0_g1_i1_aln.fna
0.78	10	5	my_25194_TR26615-c0_g1_i1_aln.fna
0.4	15	6	my_24717_TR29979-c0_g1_i3_aln.fna
0	10	5	my_139251_TR3417-c0_g1_i1_aln.fna
0	21	7	my_164365_TCONS_00033500_aln.fna
0	6	4	my_59004_TR23128-c0_g2_i1_aln.fna
0.56	10	5	my_128620_TR34637-c0_g1_i1_aln.fna
0	6	4	my_58055_TR30455-c0_g1_i1_aln.fna
0	10	5	my_136101_TR27459-c0_g2_i1_aln.fna
0	120	16	my_23029_TR991-c0_g3_i1_aln.fna
1	10	5	my_287513_TR619-c0_g1_i1_aln.fna
0	120	16	my_22340_TR21492-c0_g1_i1_aln.fna
0	6	4	my_103368_TR13898-c0_g1_i1_aln.fna
0.78	10	5	my_65419_TR13535-c0_g1_i1_aln.fna
0	6	4	my_31282_TR5934-c0_g1_i1_aln.fna
0	6	4	my_61174_TR17348-c0_g1_i1_aln.fna
0	15	6	my_64582_TR1750-c0_g1_i1_aln.fna
0.66	10	5	my_140744_TR20297-c0_g2_i1_aln.fna
0.9	15	6	my_61792_TR16851-c0_g1_i1_aln.fna
0.53	6	4	my_55203_TR10457-c0_g2_i1_aln.fna
0	28	8	my_18858_TR25958-c0_g1_i1_aln.fna
0	6	4	my_208220_TR26599-c0_g1_i1_aln.fna
0	15	6	my_93323_TR27808-c4_g1_i1_aln.fna
0	10	5	my_186248_TCONS_00016427_aln.fna
0.75	28	8	my_33060_TR19759-c0_g1_i1_aln.fna
0.07	6	4	my_31827_TR29329-c0_g1_i1_aln.fna
0	6	4	my_104860_TR15264-c0_g1_i1_aln.fna
1.61	10	5	my_60556_TR34790-c0_g1_i5_aln.fna
0.13	6	4	my_170093_TCONS_00035363_aln.fna
0	105	15	my_34129_TR3665-c0_g1_i1_aln.fna
0.15	6	4	my_19634_TR21594-c0_g1_i1_aln.fna
0.37	6	4	my_26795_TR7968-c0_g1_i1_aln.fna
0.04	10	5	my_63513_TR22168-c0_g1_i1_aln.fna
0	6	4	my_88090_TR31505-c2_g1_i8_aln.fna
0.15	6	4	my_139637_TR1082-c1_g1_i1_aln.fna
0	28	8	my_34353_TR6785-c0_g1_i1_aln.fna
0.1	28	8	my_26863_TR22177-c0_g1_i1_aln.fna
0	120	16	my_19467_TR20286-c0_g1_i1_aln.fna
0.04	10	5	my_101213_TR17441-c0_g1_i1_aln.fna
2.61	21	7	my_22801_TR19879-c0_g2_i2_aln.fna
0.03	15	6	my_66710_TR30921-c0_g1_i1_aln.fna
0	6	4	my_24158_TR5720-c0_g1_i1_aln.fna
0	6	4	my_26927_TR35030-c0_g1_i1_aln.fna
0	10	5	my_52956_TR1196-c0_g1_i1_aln.fna
0.08	120	16	my_12770_TR15519-c1_g1_i1_aln.fna
0	66	12	my_24195_TR14888-c0_g1_i1_aln.fna
0	6	4	my_141525_TR5375-c0_g1_i1_aln.fna
0	15	6	my_51807_TR368-c0_g1_i1_aln.fna
0	105	15	my_32341_TR15632-c0_g1_i5_aln.fna
0.14	6	4	my_284334_TR9671-c0_g3_i8_aln.fna
0.48	21	7	my_218203_TR5154-c0_g1_i1_aln.fna
0.16	6	4	my_59227_TR4955-c0_g1_i1_aln.fna
0	6	4	my_103529_TR6695-c0_g1_i1_aln.fna
0	105	15	my_20462_TR35855-c0_g1_i1_aln.fna
0	28	8	my_30617_TR35069-c0_g1_i1_aln.fna
0	6	4	my_29874_TR19554-c0_g1_i1_aln.fna
0	15	6	my_94637_TR10915-c0_g1_i1_aln.fna
0	21	7	my_58255_TR8981-c0_g1_i1_aln.fna
0.26	10	5	my_33096_TR27039-c0_g1_i1_aln.fna
0	15	6	my_65596_TR554-c0_g1_i1_aln.fna
0	91	14	my_16909_TR1481-c0_g1_i1_aln.fna
0	55	11	my_18584_TR5283-c0_g3_i1_aln.fna
0.05	91	14	my_21389_TR18514-c0_g1_i1_aln.fna
0	6	4	my_136539_TR15349-c0_g1_i1_aln.fna
0.66	45	10	my_129655_TR11911-c0_g1_i1_aln.fna
0	6	4	my_35422_TR5469-c0_g1_i1_aln.fna
1.34	21	7	my_104888_TR20078-c0_g1_i1_aln.fna
0.32	6	4	my_98773_TR34848-c1_g1_i1_aln.fna
0	6	4	my_331212_TR18261-c0_g1_i1_aln.fna
0.44	28	8	my_57453_TR33076-c0_g1_i1_aln.fna
0	6	4	my_429529_MLOC_23084_aln.fna
0	120	16	my_19250_TR29246-c0_g1_i1_aln.fna
0.24	6	4	my_65771_TR21467-c0_g1_i1_aln.fna
0	28	8	my_26348_TR5309-c0_g1_i1_aln.fna
0.43	28	8	my_59101_TR10183-c0_g1_i1_aln.fna
0.06	6	4	my_130388_TR34814-c0_g1_i1_aln.fna
0	55	11	my_28227_TR28887-c8_g1_i5_aln.fna
0.76	6	4	my_252707_TR6835-c0_g1_i1_aln.fna
0.06	6	4	my_214460_TR3899-c0_g1_i1_aln.fna
0	36	9	my_35119_TR27943-c1_g1_i1_aln.fna
0.84	10	5	my_19783_TR11736-c0_g1_i1_aln.fna
0	36	9	my_30733_TR12117-c0_g1_i1_aln.fna
0	10	5	my_86755_TR33046-c0_g1_i1_aln.fna
0	6	4	my_452128_TR11535-c0_g1_i1_aln.fna
0	120	16	my_17945_TR17928-c0_g1_i1_aln.fna
0.53	6	4	my_21210_TR32759-c0_g1_i2_aln.fna
0	6	4	my_58372_TR3468-c1_g1_i1_aln.fna
0	10	5	my_29243_TR2630-c1_g1_i1_aln.fna
0.83	10	5	my_155201_TCONS_00013907_aln.fna
0	45	10	my_104355_TR22984-c0_g1_i1_aln.fna
0.79	6	4	my_103044_TR9554-c0_g1_i1_aln.fna
0	91	14	my_22518_TR3021-c0_g1_i1_aln.fna
0	36	9	my_18311_TR29697-c0_g1_i1_aln.fna
0.2	28	8	my_51566_TR28090-c0_g1_i1_aln.fna
0.22	21	7	my_49772_TR20421-c0_g1_i1_aln.fna
0	10	5	my_89149_TR31537-c0_g1_i1_aln.fna
0.83	21	7	my_20729_TR36130-c0_g2_i2_aln.fna
0	15	6	my_58717_TR21019-c0_g1_i1_aln.fna
0	28	8	my_22894_TR9493-c1_g1_i1_aln.fna
0.56	10	5	my_60811_TR14142-c0_g1_i1_aln.fna
0.05	6	4	my_187751_TCONS_00021173_aln.fna
0	10	5	my_95717_TR5571-c0_g1_i1_aln.fna
0.21	6	4	my_175815_TCONS_00001372_aln.fna
0	21	7	my_97747_TR35332-c0_g1_i1_aln.fna
0.11	21	7	my_16224_TR25173-c0_g1_i1_aln.fna
0.1	45	10	my_27137_TR31713-c0_g1_i1_aln.fna
0.08	66	12	my_20608_TR20493-c2_g1_i1_aln.fna
0	15	6	my_133563_TR32674-c0_g1_i1_aln.fna
0	6	4	my_93794_TR12471-c0_g1_i1_aln.fna
0	10	5	my_91550_TR3781-c0_g1_i1_aln.fna
0.41	10	5	my_183242_TCONS_00033385_aln.fna
0	6	4	my_165974_TCONS_00033164_aln.fna
0	15	6	my_21558_TR10514-c0_g1_i1_aln.fna
0	6	4	my_397296_MLOC_47413_aln.fna
0	6	4	my_104332_TR17838-c0_g1_i1_aln.fna
0	105	15	my_16923_TR4422-c0_g1_i1_aln.fna
0.11	6	4	my_99260_TR1741-c0_g1_i1_aln.fna
0.18	66	12	my_31295_TR7491-c0_g1_i1_aln.fna
0	15	6	my_180332_TCONS_00050578_aln.fna
0.5	6	4	my_104839_TR10906-c0_g1_i1_aln.fna
0.58	6	4	my_68383_TR21421-c0_g1_i1_aln.fna
0	36	9	my_30478_TR16195-c0_g1_i1_aln.fna
0	6	4	my_33010_TR10416-c0_g1_i1_aln.fna
0	28	8	my_27683_TR18232-c1_g1_i1_aln.fna
0	6	4	my_70548_TR11581-c2_g1_i1_aln.fna
0.36	10	5	my_134897_TR12472-c0_g1_i1_aln.fna
0	45	10	my_31856_TR33117-c2_g1_i1_aln.fna
0.03	36	9	my_20219_TR14975-c0_g1_i1_aln.fna
0.54	45	10	my_31542_TR32749-c0_g1_i1_aln.fna
0.12	10	5	my_215815_TR29624-c0_g1_i1_aln.fna
0.29	6	4	my_257962_TR13816-c1_g1_i1_aln.fna
0.05	10	5	my_26549_TR1767-c0_g1_i1_aln.fna
0	120	16	my_27956_TR21916-c0_g1_i1_aln.fna
0	6	4	my_28398_TR17136-c0_g2_i1_aln.fna
1.28	10	5	my_65120_TR11677-c0_g1_i1_aln.fna
0.62	10	5	my_62789_TR11243-c0_g2_i2_aln.fna
0.58	6	4	my_106076_TR20456-c0_g1_i1_aln.fna
0	15	6	my_61103_TR2347-c0_g1_i1_aln.fna
0	10	5	my_28148_TR17568-c0_g1_i1_aln.fna
0	6	4	my_61882_TR33597-c0_g1_i1_aln.fna
0.24	10	5	my_21417_TR31463-c0_g2_i1_aln.fna
0	10	5	my_59769_TR14105-c0_g1_i1_aln.fna
0	36	9	my_18453_TR17955-c0_g1_i1_aln.fna
0.23	10	5	my_131045_TR8812-c0_g1_i1_aln.fna
0.07	6	4	my_27500_TR22101-c1_g1_i2_aln.fna
0.07	6	4	my_23511_TR19053-c0_g1_i2_aln.fna
0.53	21	7	my_25728_TR32961-c0_g1_i1_aln.fna
0	6	4	my_140530_TR16482-c0_g1_i1_aln.fna
0	10	5	my_132111_TR31473-c9_g1_i1_aln.fna
0	10	5	my_55141_TR16460-c0_g1_i4_aln.fna
0	15	6	my_24520_TR18574-c0_g1_i1_aln.fna
0	10	5	my_34408_TR14820-c0_g1_i1_aln.fna
0	10	5	my_28735_TR33280-c0_g1_i1_aln.fna
0.83	6	4	my_459359_TR19191-c1_g1_i1_aln.fna
0.27	10	5	my_27016_TR11500-c0_g1_i1_aln.fna
0.08	6	4	my_165960_TCONS_00024770_aln.fna
0.82	15	6	my_256644_TR4116-c1_g1_i1_aln.fna
0	66	12	my_32669_TR20166-c0_g2_i3_aln.fna
0	10	5	my_29066_TR11806-c0_g1_i1_aln.fna
0.1	10	5	my_68511_TR11159-c0_g1_i1_aln.fna
0.36	15	6	my_138651_TR34146-c0_g1_i1_aln.fna
0	10	5	my_70328_TR8014-c0_g1_i1_aln.fna
0.65	15	6	my_25712_TR30448-c0_g1_i1_aln.fna
0	10	5	my_70201_TR19676-c0_g2_i1_aln.fna
0	28	8	my_70735_TR12469-c0_g1_i1_aln.fna
0.7	6	4	my_67385_TR35582-c0_g1_i1_aln.fna
0	10	5	my_68349_TR13737-c0_g1_i1_aln.fna
0	10	5	my_70052_TR28948-c0_g1_i1_aln.fna
0	45	10	my_24753_TR36310-c0_g1_i1_aln.fna
0	10	5	my_70997_TR23214-c0_g1_i1_aln.fna
0.02	10	5	my_94965_TR17798-c0_g1_i4_aln.fna
0	6	4	my_62827_TR17889-c1_g1_i1_aln.fna
1.32	15	6	my_35019_TR11818-c0_g1_i3_aln.fna
0.02	120	16	my_20735_TR5311-c0_g1_i2_aln.fna
0.15	66	12	my_20613_TR23220-c0_g1_i1_aln.fna
0	21	7	my_70874_TR1512-c0_g1_i4_aln.fna
0	28	8	my_32058_TR22292-c2_g7_i4_aln.fna
0.57	6	4	my_93750_TR4069-c0_g1_i1_aln.fna
0	15	6	my_27116_TR28573-c0_g1_i1_aln.fna
0	120	16	my_33123_TR31897-c0_g1_i6_aln.fna
0.55	6	4	my_145570_TCONS_00001732_aln.fna
0.27	6	4	my_102411_TR14135-c0_g1_i1_aln.fna
0	120	16	my_25883_TR27848-c0_g1_i1_aln.fna
0	21	7	my_71155_TR13629-c0_g1_i1_aln.fna
0.1	120	16	my_10115_TR25133-c0_g1_i1_aln.fna
0.33	10	5	my_175284_TCONS_00010364_aln.fna
0	28	8	my_22791_TR13109-c2_g1_i1_aln.fna
0	15	6	my_27752_TR31151-c0_g1_i1_aln.fna
0.59	15	6	my_104431_TR5490-c0_g1_i1_aln.fna
0.11	91	14	my_9715_TR33440-c0_g1_i1_aln.fna
0	105	15	my_15234_TR4002-c0_g1_i1_aln.fna
0.08	10	5	my_50812_TR33248-c0_g1_i1_aln.fna
0	6	4	my_97415_TR16172-c0_g1_i1_aln.fna
0	10	5	my_175719_TCONS_00050461_aln.fna
0.34	6	4	my_135777_TR21230-c0_g1_i1_aln.fna
0.5	10	5	my_292638_TR12131-c0_g1_i1_aln.fna
0.57	28	8	my_64294_TR31329-c0_g1_i1_aln.fna
0.49	6	4	my_32433_TR24524-c0_g1_i1_aln.fna
0.69	6	4	my_58634_TR33053-c0_g1_i1_aln.fna
0.08	6	4	my_158970_TCONS_00031260_aln.fna
0.51	6	4	my_20724_TR34562-c0_g1_i1_aln.fna
0	10	5	my_26702_TR29992-c0_g1_i1_aln.fna
0	120	16	my_19774_TR9722-c0_g1_i1_aln.fna
0	6	4	my_29257_TR4517-c0_g1_i1_aln.fna
0	10	5	my_30420_TR9742-c0_g1_i1_aln.fna
0.04	6	4	my_26544_TR1315-c0_g1_i1_aln.fna
0.13	6	4	my_152854_TCONS_00018083_aln.fna
0	15	6	my_106441_TR9686-c0_g1_i1_aln.fna
0.38	10	5	my_25068_TR3272-c0_g1_i1_aln.fna
0	6	4	my_20175_TR30570-c0_g2_i1_aln.fna
0	10	5	my_131751_TR1850-c0_g1_i1_aln.fna
0	45	10	my_64276_TR29101-c1_g1_i2_aln.fna
0	6	4	my_23582_TR4191-c0_g1_i1_aln.fna
0.42	6	4	my_68303_TR4030-c0_g1_i1_aln.fna
0	15	6	my_166530_TCONS_00018521_aln.fna
0.1	6	4	my_101725_TR4860-c0_g1_i1_aln.fna
0	6	4	my_58227_TR2857-c0_g1_i1_aln.fna
0.13	28	8	my_27332_TR27976-c0_g1_i1_aln.fna
0	6	4	my_68685_TR6926-c0_g1_i1_aln.fna
0	21	7	my_72341_TR26120-c0_g1_i1_aln.fna
0.83	66	12	my_26763_TR3938-c0_g1_i2_aln.fna
0.55	21	7	my_33222_TR14308-c0_g1_i1_aln.fna
0.26	6	4	my_32539_TR35382-c0_g1_i1_aln.fna
0	28	8	my_99726_TR31812-c1_g1_i1_aln.fna
0.33	6	4	my_18764_TR18387-c0_g1_i1_aln.fna
0	28	8	my_34067_TR26482-c0_g1_i1_aln.fna
0.15	105	15	my_34240_TR19497-c0_g1_i1_aln.fna
0	45	10	my_33375_TR4944-c0_g1_i1_aln.fna
0	10	5	my_70865_TR35864-c0_g1_i1_aln.fna
0	28	8	my_33214_TR11832-c0_g3_i1_aln.fna
0.9	6	4	my_97080_TR26173-c0_g1_i1_aln.fna
0.04	120	16	my_15909_TR6936-c0_g1_i1_aln.fna
0.09	10	5	my_64810_TR175-c0_g1_i1_aln.fna
0.03	120	16	my_16834_TR29829-c0_g1_i1_aln.fna
0.14	15	6	my_28313_TR4895-c0_g3_i1_aln.fna
0	45	10	my_15014_TR5037-c0_g1_i1_aln.fna
0	6	4	my_60035_TR1890-c0_g1_i1_aln.fna
0	15	6	my_123663_TR30349-c0_g1_i1_aln.fna
0.67	6	4	my_67334_TR28631-c0_g1_i1_aln.fna
0	6	4	my_33788_TR13099-c0_g1_i1_aln.fna
0	6	4	my_27679_TR17662-c0_g1_i1_aln.fna
0	28	8	my_66068_TR24090-c0_g1_i1_aln.fna
0.48	36	9	my_20840_TR8935-c0_g1_i1_aln.fna
0.59	15	6	my_135395_TR5777-c0_g1_i1_aln.fna
0.5	28	8	my_35925_TR18383-c0_g1_i1_aln.fna
0.76	28	8	my_65545_TR30329-c0_g1_i1_aln.fna
0.68	10	5	my_28235_TR30123-c0_g1_i1_aln.fna
